2023-02-06 11:25:19+00:00, province: Elazığ, district: Elâzığ Merkez, country: TR
2023-02-06 11:22:31+00:00, province: Ankara, district: None, country: TR
2023-02-06 11:22:14+00:00, province: Antalya, district: Antalya, country: TR
2023-02-06 11:20:57+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:19:16+00:00, province: None, district: Lefkoşa ilçesi, country: CY
2023-02-06 11:18:48+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:17:01+00:00, province: Elazığ, district: Elâzığ Merkez, country: TR
2023-02-06 11:14:51+00:00, province: Kayseri, district: Kayseri, country: TR
2023-02-06 11:11:58+00:00, province: Ankara, district: Ankara, country: TR
2023-02-06 11:10:17+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:09:15+00:00, province: İzmir, district: None, country: TR
2023-02-06 11:08:47+00:00, province: Muğla, district: None, country: TR
2023-02-06 11:07:32+00:00, province: Şanlıurfa, district: None, country: TR
2023-02-06 11:06:43+00:00, province: Muğla, district: None, country: TR
2023-02-06 11:06:01+00:00, province: Bitlis, district: None, country: TR
2023-02-06 11:04:43+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:03:19+00:00, province: Kaliforniya, district: Los Angeles County, country: US
2023-02-06 11:02:44+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:02:08+00:00, province: Bolu, district: None, country: TR
